seller_id,baseline_volume,recent_volume,baseline_review,recent_review,baseline_delay,recent_delay,baseline_rate,recent_rate,volume_decay,review_decay,delay_surge,SFI,future_orders,is_inactive
134a288e7de827ec5ec62e3ec9c3a295,9,0.0,4.777777777777778,,1.2545949074074074,,1.0,0.0,1.0,0.0,0.0,0.3,0.0,1
1354d51653f645349064725ed204e85e,8,4.0,4.125,4.5,3.7917997685185183,4.335578703703703,0.8888888888888888,1.3333333333333333,0.0,0.0,0.1434091904588208,0.0573636761835283,6.0,0
13d058e4eeac2ce8217660b2f8a05812,16,3.0,4.1875,3.6666666666666665,2.474502314814815,4.050960648148148,1.7777777777777777,1.0,0.4374999999999999,0.1243781094527363,0.6370809693307203,0.423395820568109,4.0,0
13fa2a6c6b9d0f43cb588d7c82117a12,9,0.0,4.111111111111111,,4.3259490740740745,,1.0,0.0,1.0,0.0,0.0,0.3,0.0,1
1430239a858e7682bbc43b20758af153,8,5.0,4.25,3.0,1.9066087962962963,1.1748148148148148,0.8888888888888888,1.6666666666666667,0.0,0.2941176470588235,0.0,0.088235294117647,5.0,0
1464afc72f696af775557a821c2e253f,16,4.0,4.125,3.5,1.0814467592592591,1.6491782407407407,1.7777777777777777,1.3333333333333333,0.25,0.1515151515151515,0.5249740466838619,0.3304441641280902,9.0,0
14d7985702e72162bbf13b6beb74ab2b,17,7.0,4.588235294117647,3.7142857142857135,2.014872685185185,2.26787037037037,1.8888888888888888,2.333333333333333,0.0,0.1904761904761903,0.1255650975098371,0.1073688961467919,12.0,0
152ee17e4c8aaf53dac99f3462e4999b,6,0.0,4.333333333333333,,2.609652777777778,,0.6666666666666666,0.0,1.0,0.0,0.0,0.3,0.0,1
1554a68530182680ad5c8b042c3ab563,116,39.0,4.28695652173913,4.6923076923076925,1.9671180555555556,2.87275462962963,12.88888888888889,13.0,0.0,0.0,0.4603875052218478,0.1841550020887391,46.0,0
157c3e4b42f81ac4a44e8b1ca2fe9876,5,6.0,3.8,4.166666666666667,5.338032407407408,2.0530613425925925,0.5555555555555556,2.0,0.0,0.0,0.0,0.0,12.0,0
15aac934c58d886785ac1b17953ea898,11,10.0,4.090909090909091,4.3,2.6585300925925925,2.743900462962963,1.2222222222222223,3.333333333333333,0.0,0.0,0.0321118691145292,0.0128447476458116,4.0,0
15cd6eefe58588619aaed41dfa6621b1,7,7.0,4.571428571428571,4.285714285714286,5.22375,2.5355324074074077,0.7777777777777778,2.333333333333333,0.0,0.0624999999999999,0.0,0.0187499999999999,2.0,0
16090f2ca825584b5a147ab24aa30c86,65,75.0,4.292307692307692,3.773333333333333,2.282511574074074,1.9571759259259256,7.222222222222222,25.0,0.0,0.1209080047789724,0.0,0.0362724014336917,249.0,0
165fc07beebdcb6190fba8a06db2a449,33,10.0,3.696969696969697,3.3,2.3388773148148148,2.209114583333333,3.6666666666666665,3.333333333333333,0.0909090909090908,0.1073770491803278,0.0,0.0594858420268256,7.0,0
1660ad786c27fd935378b6192a90b417,6,0.0,5.0,,1.1385243055555554,,0.6666666666666666,0.0,1.0,0.0,0.0,0.3,6.0,0
17306570e772e7718c92a562d33f5f1d,18,7.0,4.0,2.0,5.294218750000001,2.139201388888889,2.0,2.333333333333333,0.0,0.5,0.0,0.15,2.0,0
1771297ac436903d1dd6b0e9279aa505,15,3.0,4.466666666666667,5.0,0.9945601851851852,0.4994328703703704,1.6666666666666667,1.0,0.4,0.0,0.0,0.12,1.0,0
17a053fcb14bd219540cbde0df490be0,34,34.0,4.21875,4.088235294117647,5.161087962962963,4.310028935185185,3.7777777777777777,11.333333333333334,0.0,0.0309368191721133,0.0,0.009281045751634,57.0,0
17ca9b9e9b9ef8fdb529001b49ebb50f,39,21.0,3.948717948717949,3.857142857142857,2.1539699074074075,1.5827546296296295,4.333333333333333,7.0,0.0,0.023191094619666,0.0,0.0069573283858998,56.0,0
17e34d8224d27a541263c4c64b11a56b,155,42.0,4.181818181818182,3.6666666666666665,1.520127314814815,2.2364409722222223,17.22222222222222,14.0,0.1870967741935483,0.1231884057971014,0.4712195159092122,0.2815733603608798,45.0,0
17f51e7198701186712e53a39c564617,35,4.0,4.4,3.75,12.474097222222222,11.019079861111113,3.888888888888889,1.3333333333333333,0.6571428571428571,0.1477272727272728,0.0,0.241461038961039,12.0,0
1835b56ce799e6a4dc4eddc053f04066,135,134.0,3.4444444444444446,3.378787878787879,1.8451273148148148,1.8885416666666663,15.0,44.66666666666666,0.0,0.0190615835777126,0.0235291903725402,0.0151301512223298,154.0,0
1838dd9b8977065acf51d95e0053ea7a,19,19.0,4.842105263157895,4.0,1.3769791666666666,1.2490046296296295,2.111111111111111,6.333333333333333,0.0,0.1739130434782608,0.0,0.0521739130434782,26.0,0
18a349e75d307f4b4cc646a691ed4216,25,17.0,2.88,3.5625,4.329704861111111,3.3825578703703703,2.7777777777777777,5.666666666666667,0.0,0.0,0.0,0.0,79.0,0
1900267e848ceeba8fa32d80c1a5f5a8,143,119.0,3.942857142857143,3.6440677966101696,2.9570833333333333,1.7158506944444445,15.88888888888889,39.66666666666666,0.0,0.0757799066568411,0.0,0.0227339719970523,149.0,0
1976a05ecf2996d6ffb7b5430e635fe7,5,0.0,4.0,,2.1453819444444444,,0.5555555555555556,0.0,1.0,0.0,0.0,0.3,0.0,1
1987cd4be10fe09ee50454f9c354d1c6,11,3.0,4.818181818181818,2.6666666666666665,2.1202314814814813,4.329664351851852,1.2222222222222223,1.0,0.1818181818181818,0.4465408805031447,1.0,0.5885077186963981,0.0,1
198c7ea11960a9844b544d9bcdca860c,17,0.0,4.0,,1.2047337962962965,,1.8888888888888888,0.0,1.0,0.0,0.0,0.3,0.0,1
